学生ID,数学,英语,物理
1664,98,88,69
1665,56,58,94
1666,96,76,56
1667,50,79,82
1668,51,71,75
1669,68,78,76
1670,82,51,73
1671,94,84,61
1672,70,84,73
1673,60,98,53
1674,65,61,51
1675,73,54,80
1676,99,63,86
1677,96,51,68
1678,92,98,51
1679,52,98,69
1680,72,79,69
1681,87,54,59
1682,92,89,100
1683,69,83,70
1684,67,55,76
1685,71,54,55
1686,51,75,68
1687,89,73,93
1688,51,57,92
1689,79,62,81
1690,61,65,58
1691,72,65,76
1692,93,87,77
1693,87,59,83
1694,57,60,52
1695,74,83,74
1696,96,74,87
1697,79,84,84
1698,53,89,97
1699,89,84,66
1700,76,50,71
1701,95,86,83
1702,92,59,99
1703,66,69,88
1704,100,69,66
1705,56,61,66
1706,85,76,67
1707,65,90,98
1708,98,87,78
1709,90,79,73
1710,59,75,66
1711,77,79,83
1712,57,62,100
1713,95,92,92
1714,56,91,61
1715,72,69,60
1716,85,97,71
1717,53,53,56
1718,87,69,89
1719,87,97,67
1720,61,87,55
1721,56,78,64
1722,92,58,87
1723,51,66,78
1724,88,65,73
1725,79,71,84
1726,51,65,75
1727,53,65,69
1728,91,60,75
1729,55,55,81
1730,87,83,99
1731,60,60,92
1732,72,91,65
1733,60,54,84
1734,64,79,56
1735,96,75,82
1736,52,68,53
1737,75,50,76
1738,92,69,70
1739,70,89,83
1740,71,85,86
1741,50,73,64
1742,60,59,71
1743,59,99,100
1744,54,99,56
1745,98,64,73
1746,68,50,68
1747,55,83,62
1748,77,85,81
1749,82,59,79
1750,76,73,75
1751,80,80,53
1752,51,88,100
1753,55,77,53
1754,51,74,56
1755,83,73,59
1756,88,60,57
1757,71,82,55
1758,63,54,72
1759,94,64,78
1760,70,63,58
1761,58,91,61
1762,86,98,90
1763,68,89,75
1764,94,54,87
1765,81,60,84
1766,86,58,54
1767,77,50,81
1768,94,72,69
1769,92,99,69
1770,89,100,54
1771,53,92,71
1772,72,51,55
1773,69,98,93
1774,75,89,71
1775,71,86,60
1776,72,68,53
1777,54,56,65
1778,50,65,59
1779,66,57,68
1780,64,77,78
1781,73,92,64
1782,85,63,70
1783,85,92,70
1784,52,65,61
1785,62,96,78
1786,63,99,80
1787,59,53,54
1788,95,83,83
1789,58,54,86
1790,100,73,78
1791,62,78,70
1792,64,86,76
1793,60,65,86
1794,61,89,82
1795,83,77,71
1796,62,91,75
1797,53,88,100
1798,96,70,81
1799,61,92,68
1800,80,70,94
1801,98,73,71
1802,90,93,91
1803,93,73,71
1804,68,66,66
1805,58,56,79
1806,55,89,66
1807,77,83,57
1808,62,55,90
1809,53,56,55
1810,90,68,88
1811,54,76,94
1812,56,82,99
1813,55,81,86
1814,67,67,65
1815,79,71,75
1816,57,68,59
1817,74,81,57
1818,59,66,51
1819,79,79,64
1820,87,54,54
1821,96,78,97
1822,96,63,94
1823,68,94,77
1824,66,98,94
1825,88,79,81
1826,55,70,96
1827,90,98,57
1828,76,79,72
1829,65,89,79
1830,93,91,98
1831,58,75,82
1832,76,67,54
1833,56,73,98
1834,91,74,64
1835,86,58,88
1836,99,63,84
1837,97,51,92
1838,97,98,60
1839,80,96,74
1840,80,82,83
1841,64,84,89
1842,53,65,50
1843,80,60,97
1844,50,66,50
1845,90,76,74
1846,82,97,54
1847,83,58,89
1848,79,56,78
1849,55,85,79
1850,73,82,96
1851,52,65,96
1852,87,60,67
1853,74,86,63
1854,56,92,55
1855,61,93,54
1856,91,77,92
1857,78,62,55
1858,63,65,57
1859,91,58,91
1860,67,61,61
1861,84,66,97
1862,79,85,95
1863,94,60,89
1864,97,70,54
1865,77,58,82
1866,61,93,66
1867,99,56,93
1868,68,81,95
1869,57,89,57
1870,65,80,98
1871,63,71,76
1872,78,82,51
1873,79,73,74
1874,55,100,93
1875,89,83,50
1876,57,95,65
1877,86,73,57
1878,66,99,95
1879,62,89,55
1880,65,92,73
1881,58,70,83
1882,63,57,50
1883,86,60,69
1884,61,54,74
1885,97,77,75
1886,55,62,73
1887,92,87,86
1888,70,80,62
1889,64,87,52
1890,95,94,81
1891,96,75,96
1892,71,50,53
1893,54,88,71
1894,89,82,76
1895,61,99,87
1896,67,72,65
1897,81,76,70
1898,77,59,69
1899,99,68,55
1900,94,69,85
1901,59,54,77
1902,66,52,88
1903,80,73,58
1904,74,76,81
1905,70,97,96
1906,97,56,73
1907,78,86,64
1908,84,51,57
1909,87,96,95
1910,87,69,51
1911,91,67,54
1912,100,79,55
1913,96,64,54
1914,69,50,67
1915,89,98,56
1916,72,56,95
1917,58,90,92
1918,68,92,50
1919,82,91,50
1920,55,55,79
1921,55,73,65
1922,99,70,95
1923,64,69,82
1924,82,98,99
1925,72,71,76
1926,62,90,54
1927,57,72,83
1928,100,60,93
1929,87,51,68
1930,81,80,63
1931,55,54,61
1932,58,78,83
1933,95,75,75
1934,67,59,99
1935,62,86,90
1936,53,83,87
1937,77,74,77
1938,91,78,86
1939,77,76,84
1940,63,98,90
1941,74,76,91
1942,86,76,78
1943,87,94,62
1944,68,56,88
1945,61,62,50
1946,88,56,78
1947,51,69,63
1948,86,55,83
1949,86,54,70
1950,72,85,77
1951,85,95,77
1952,74,62,100
1953,67,60,64
1954,89,50,62
1955,92,69,90
1956,69,90,78
1957,85,61,56
1958,73,59,89
1959,68,50,75
1960,90,73,91
1961,73,86,64
1962,71,60,81
1963,65,51,86
1964,52,73,78
1965,99,93,81
1966,95,63,67
1967,94,69,55
1968,80,99,74
1969,97,60,86
1970,63,88,54
1971,87,59,91
1972,90,90,67
1973,64,95,51
1974,99,73,71
1975,64,79,89
1976,80,93,82
1977,57,73,73
1978,100,87,51
1979,75,72,71
1980,50,84,75
1981,51,65,94
1982,85,74,82
1983,86,66,70
1984,57,70,50
1985,51,90,90
1986,95,66,93
1987,96,83,73
1988,98,91,65
1989,86,82,99
1990,71,72,91
1991,62,91,87
1992,95,55,96
1993,87,61,81
1994,52,60,89
1995,61,56,69
1996,94,99,51
1997,75,57,66
1998,64,66,78
1999,52,84,91
2000,70,90,86
2001,88,60,67
2002,62,74,65
2003,86,63,74
2004,52,58,91
2005,96,60,78
2006,82,74,96
2007,99,67,53
2008,82,81,62
2009,96,56,93
2010,92,85,58
2011,75,97,66
2012,81,54,57
2013,94,63,60
2014,68,93,98
2015,72,82,52
2016,55,70,62
2017,97,62,50
2018,61,100,98
2019,69,100,62
2020,67,93,58
2021,86,94,77
2022,95,51,59
2023,71,91,92
2024,89,98,73
2025,69,97,96
2026,62,80,91
2027,81,78,73
2028,61,62,69
2029,54,74,66
2030,79,67,55
2031,63,96,76
2032,96,81,92
2033,96,78,92
2034,56,98,56
2035,83,96,79
2036,53,56,79
2037,69,54,56
2038,76,73,69
2039,62,83,92
2040,67,67,58
2041,83,55,78
2042,95,66,82
2043,99,66,55
2044,70,57,53
2045,99,74,100
2046,95,69,68
2047,94,64,93
2048,94,72,82
2049,83,69,79
2050,87,99,57
2051,63,79,66
2052,84,73,86
2053,58,89,78
2054,100,65,98
2055,85,94,94
2056,83,87,78
2057,74,73,89
2058,82,70,60
2059,66,54,90
2060,78,100,85
2061,90,100,79
2062,73,97,51
2063,61,64,92
2064,95,66,80
2065,70,65,84
2066,81,70,72
2067,54,63,99
2068,78,54,89
2069,87,62,83
2070,58,98,53
2071,93,59,52
2072,69,87,50
2073,66,50,79
2074,78,78,67
2075,78,86,80
2076,96,71,67
2077,64,92,68
2078,79,67,88
2079,71,78,89
2080,91,62,66
2081,99,52,73
2082,56,85,96
2083,98,80,79
2084,54,71,84
2085,51,93,66
2086,83,56,73
2087,52,91,91
2088,68,81,77
2089,95,98,77
2090,99,59,92
2091,63,52,73
2092,83,85,70
2093,58,72,78
2094,87,54,76
2095,56,96,100
2096,69,95,80
2097,53,60,82
2098,54,85,74
2099,84,84,50
2100,61,61,68
2101,56,92,95
2102,82,60,97
2103,79,99,50
2104,52,52,83
2105,60,84,54
2106,59,81,86
2107,53,65,86
2108,60,92,93
2109,88,91,98
2110,69,100,77
2111,57,63,52
2112,82,85,63
2113,56,89,65
2114,83,78,57
2115,100,52,78
2116,70,73,81
2117,53,51,66
2118,71,96,84
2119,88,81,75
2120,69,76,84
2121,60,63,100
2122,90,82,67
2123,64,63,86
2124,100,75,80
2125,53,58,61
2126,78,96,62
2127,52,79,68
2128,88,78,58
2129,68,65,98
2130,94,57,90
2131,76,81,63
2132,88,73,67
2133,76,91,85
2134,71,93,65
2135,71,68,52
2136,72,88,62
2137,86,98,78
2138,89,99,55
2139,86,70,56
2140,57,94,92
2141,86,56,100
2142,50,89,64
2143,65,88,55
2144,62,71,93
2145,50,70,98
2146,83,54,93
2147,60,67,72
2148,99,80,64
2149,60,96,91
2150,96,98,100
2151,89,57,58
2152,57,80,80
2153,100,71,82
2154,53,98,67
2155,55,89,92
2156,99,81,71
2157,85,61,94
2158,74,79,100
2159,91,89,59
2160,84,95,62
2161,75,51,75
2162,96,84,70
2163,52,67,70
2164,80,93,87
2165,65,61,95
2166,95,74,56
2167,66,87,60
2168,53,64,66
2169,51,70,85
2170,59,82,51
2171,53,77,77
2172,78,76,84
2173,84,96,75
2174,57,96,62
2175,94,60,99
2176,89,85,61
2177,61,73,95
2178,75,77,84
2179,60,86,88
2180,62,81,58
2181,57,66,84
2182,95,85,81
2183,64,72,52
2184,79,89,64
2185,72,68,80
2186,67,53,63
2187,71,90,55
2188,96,64,80
2189,74,62,98
2190,65,97,90
2191,94,80,89
2192,84,82,87
2193,57,87,58
2194,94,51,93
2195,69,55,81
2196,65,96,79
2197,76,75,95
2198,98,64,68
2199,55,98,94
2200,85,92,88
2201,61,64,69
2202,82,93,90
2203,67,74,70
2204,69,77,73
2205,55,95,96
2206,82,57,50
2207,96,51,79
2208,56,79,67
2209,85,100,55
2210,76,98,68
2211,62,91,94
2212,92,82,52
2213,91,100,67
2214,94,72,86
2215,70,99,96
2216,83,58,78
2217,96,71,88
2218,53,73,86
2219,68,50,73
2220,54,70,99
2221,97,75,98
2222,61,99,83
2223,84,83,61
2224,51,57,88
2225,57,66,55
2226,61,69,99
2227,55,52,84
2228,99,89,86
2229,64,87,57
2230,60,63,59
2231,77,75,68
2232,83,78,81
2233,80,86,93
2234,52,78,62
2235,77,72,56
2236,99,52,78
2237,89,79,71
2238,75,54,99
2239,68,72,88
2240,97,90,55
2241,85,90,70
2242,77,68,68
2243,77,60,89
2244,99,86,96
2245,88,75,57
2246,74,91,76
2247,99,86,86
2248,70,71,82
2249,73,79,67
2250,91,78,70
2251,95,54,73
2252,88,59,81
2253,54,75,86
2254,85,51,77
2255,70,82,94
2256,89,82,68
2257,83,60,62
2258,74,69,65
2259,63,91,54
2260,70,97,70
2261,86,81,93
2262,61,64,93
2263,55,91,79
2264,53,73,92
2265,55,76,100
2266,98,71,91
2267,86,75,98
2268,62,89,53
2269,63,85,98
2270,93,67,61
2271,56,74,85
2272,78,75,80
2273,65,70,61
2274,85,56,58
2275,64,67,73
2276,62,50,65
2277,68,75,59
2278,91,72,98
2279,99,67,91
2280,96,57,64
2281,96,64,71
2282,84,87,97
2283,50,51,64
2284,92,76,56
2285,95,74,82
2286,51,86,58
2287,55,79,90
2288,88,77,76
2289,74,56,62
2290,72,59,51
2291,53,62,100
2292,90,71,94
2293,59,84,95
2294,89,69,73
2295,74,67,78
2296,85,52,52
2297,91,87,77
2298,61,99,58
2299,50,89,96
2300,52,83,66
2301,84,100,59
2302,73,76,54
2303,99,97,88
2304,52,87,97
2305,74,79,77
2306,63,57,71
2307,73,68,79
2308,100,72,63
2309,82,64,89
2310,53,75,52
2311,91,81,99
2312,80,70,95
2313,53,98,77
2314,82,88,50
2315,59,99,76
2316,51,94,88
2317,79,58,91
2318,68,95,66
2319,61,71,98
2320,69,77,98
2321,90,55,99
2322,74,100,90
2323,89,66,83
2324,98,65,69
2325,82,93,86
2326,67,89,72
2327,55,79,71
2328,97,76,72
2329,86,53,94
2330,79,95,51
2331,60,95,67
2332,69,80,97
2333,97,94,62
2334,79,93,73
2335,53,97,60
2336,53,62,85
2337,82,92,62
2338,67,89,94
2339,66,91,85
2340,78,77,62
2341,78,58,83
2342,89,51,87
2343,97,66,53
2344,95,60,74
2345,70,87,90
2346,92,79,85
2347,95,60,94
2348,72,77,58
2349,84,83,72
2350,82,65,71
2351,55,96,78
2352,87,70,67
2353,62,83,64
2354,82,94,83
2355,100,73,60
2356,85,92,77
2357,52,87,82
2358,83,82,86
2359,61,93,79
2360,66,54,83
2361,52,63,69
2362,60,65,72
2363,86,51,75
2364,64,50,50
2365,59,95,89
2366,97,97,67
2367,50,55,75
2368,66,59,76
2369,75,53,59
2370,89,94,63
2371,76,63,76
2372,99,71,73
2373,97,80,75
2374,58,97,51
2375,73,100,58
2376,75,54,81
2377,63,70,51
2378,92,74,88
2379,82,66,87
2380,85,80,72
2381,68,57,100
2382,98,98,62
2383,77,72,66
2384,73,71,87
2385,62,100,62
2386,76,98,82
2387,86,67,52
2388,93,86,91
2389,90,57,54
2390,85,70,53
2391,99,72,98
2392,69,66,59
2393,78,80,75
2394,80,91,66
2395,98,77,83
2396,85,79,68
2397,59,84,77
2398,65,53,59
2399,54,82,76
2400,58,94,79
2401,93,86,89
2402,98,57,64
2403,54,58,60
2404,58,50,50
2405,99,62,70
2406,63,52,74
2407,59,54,53
2408,64,57,54
2409,50,66,82
2410,94,73,93
2411,90,83,92
2412,59,72,66
2413,100,98,56
2414,64,100,58
2415,84,66,75
2416,96,55,81
2417,61,68,89
2418,80,94,83
2419,54,50,85
2420,68,71,90
2421,68,65,65
2422,79,65,71
2423,62,90,83
2424,87,50,78
2425,98,60,64
2426,52,55,67
2427,99,79,80
2428,78,73,51
2429,85,77,60
2430,83,86,78
2431,62,74,74
2432,62,81,68
2433,54,87,90
2434,71,86,76
2435,87,89,96
2436,71,77,100
2437,79,97,81
2438,56,52,69
2439,73,74,70
2440,52,99,82
2441,99,85,83
2442,93,79,60
2443,86,81,76
2444,96,63,97
2445,81,75,84
2446,68,80,98
2447,75,63,63
2448,67,53,77
2449,66,62,71
2450,64,54,52
2451,98,96,89
2452,73,70,64
2453,52,60,87
2454,70,52,96
2455,94,71,92
2456,66,95,50
2457,90,76,50
2458,90,57,74
2459,88,53,98
2460,95,75,95
2461,57,62,60
2462,62,80,100
2463,51,73,60
2464,98,79,77
2465,54,74,85
2466,69,87,75
2467,53,87,94
2468,78,53,56
2469,71,79,98
2470,92,67,94
2471,80,80,58
2472,73,81,96
2473,92,92,83
2474,77,92,56
2475,50,51,75
2476,93,91,87
2477,56,88,76
2478,63,55,97
2479,66,52,67
2480,63,63,54
2481,67,95,56
2482,72,51,85
2483,87,54,80
2484,51,87,75
2485,97,75,94
2486,79,78,91
2487,89,71,90
2488,99,93,60
2489,50,70,95
2490,64,77,61
2491,75,91,88
2492,82,59,66
2493,70,93,55
2494,90,88,85
2495,78,58,79
2496,73,57,51
2497,90,88,53
2498,60,61,67
2499,95,84,88
2500,70,51,60
2501,55,91,85
2502,100,84,94
2503,100,68,91
2504,80,80,84
2505,61,98,60
2506,88,91,93
2507,61,79,52
2508,74,88,59
2509,77,92,75
2510,56,90,99
2511,53,94,65
2512,54,57,97
2513,65,95,72
2514,68,89,58
2515,52,81,52
2516,81,56,68
2517,95,50,56
2518,96,51,94
2519,94,93,56
2520,85,91,61
2521,80,75,68
2522,83,52,90
2523,98,60,57
2524,53,74,74
2525,75,58,57
2526,72,62,59
2527,87,78,91
2528,62,60,54
2529,67,69,93
2530,97,52,51
2531,88,63,77
2532,97,54,65
2533,86,67,92
2534,85,60,57
2535,94,81,57
2536,89,53,73
2537,77,85,94
2538,59,94,66
2539,82,89,83
2540,98,80,88
2541,53,95,89
2542,94,88,62
2543,87,84,91
2544,81,70,83
2545,92,100,68
2546,85,67,61
2547,75,58,99
2548,97,77,92
2549,88,99,92
2550,97,56,68
2551,57,79,77
2552,89,88,99
2553,78,97,54
2554,93,88,52
2555,58,52,91
2556,56,66,70
2557,50,88,99
2558,92,90,100
2559,83,85,67
2560,53,79,68
2561,71,58,92
2562,56,90,52
2563,96,73,91
2564,75,65,75
2565,91,57,76
2566,58,79,76
2567,78,89,69
2568,59,95,64
2569,63,72,85
2570,92,51,79
2571,56,100,79
2572,66,87,51
2573,90,73,97
2574,56,74,89
2575,90,52,57
2576,92,58,76
2577,55,85,81
2578,57,79,75
2579,58,80,62
2580,75,67,86
2581,82,92,84
2582,79,96,64
2583,61,92,50
2584,59,65,83
2585,76,96,57
2586,81,66,59
2587,73,61,78
2588,53,85,59
2589,66,79,83
2590,62,73,68
2591,99,57,99
2592,56,83,52
2593,97,58,98
2594,86,100,95
2595,52,63,89
2596,67,98,86
2597,62,82,89
2598,88,76,82
2599,81,57,95
2600,56,71,81
2601,68,73,51
2602,65,72,81
2603,64,53,92
2604,82,77,70
2605,97,62,84
2606,98,55,81
2607,57,95,98
2608,87,78,92
2609,64,87,87
2610,95,63,95
2611,87,82,79
2612,64,72,65
2613,55,90,56
2614,73,63,77
2615,89,84,83
2616,77,54,68
2617,58,96,91
2618,92,56,70
2619,74,60,77
2620,56,82,51
2621,86,62,62
2622,70,56,70
2623,75,77,55
2624,80,72,53
2625,50,58,82
2626,64,99,72
2627,96,99,58
2628,81,63,57
2629,97,94,94
2630,60,81,88
2631,94,96,50
2632,57,96,92
2633,60,89,96
2634,99,94,81
2635,76,55,81
2636,92,92,56
2637,82,71,59
2638,86,69,69
2639,84,91,77
2640,75,83,80
2641,85,87,74
2642,97,92,79
2643,64,79,59
2644,96,84,72
2645,92,70,85
2646,78,83,69
2647,52,69,89
2648,56,84,94
2649,82,92,71
2650,80,92,61
2651,72,100,64
2652,96,54,83
2653,62,64,77
2654,63,68,56
2655,86,95,75
2656,67,68,93
2657,66,62,74
2658,83,82,62
2659,84,88,62
2660,52,86,97
2661,78,95,91
2662,90,50,91
2663,51,71,100
2664,92,66,99
2665,88,50,100
2666,65,85,53
2667,62,81,69
2668,65,79,98
2669,50,91,66
2670,75,55,90
2671,70,66,58
2672,52,81,86
2673,80,77,51
2674,63,67,80
2675,61,59,81
2676,84,94,85
2677,66,70,53
2678,99,84,69
2679,59,73,53
2680,79,59,79
2681,94,54,82
2682,95,79,76
2683,58,68,61
2684,67,100,70
2685,99,83,92
2686,72,73,60
2687,66,50,54
2688,82,89,53
2689,54,84,79
2690,79,81,90
2691,58,97,61
2692,55,89,62
2693,51,70,82
2694,70,64,74
2695,93,93,53
2696,99,61,53
2697,51,53,68
2698,89,61,85
2699,94,94,99
2700,75,89,71
2701,79,59,67
2702,68,90,51
2703,78,81,59
2704,98,90,81
2705,58,77,53
2706,93,71,98
2707,87,67,94
2708,53,81,81
2709,83,89,96
2710,74,98,97
2711,64,78,63
2712,60,95,84
2713,68,67,98
2714,76,79,84
2715,79,50,64
2716,98,84,58
2717,58,55,92
2718,57,87,88
2719,80,50,60
2720,78,71,53
2721,97,71,99
2722,53,58,55
2723,90,51,74
2724,88,85,66
2725,54,73,83
2726,54,78,63
2727,82,80,58
2728,89,71,85
2729,90,94,99
2730,100,69,75
2731,66,93,90
2732,100,66,55
2733,75,100,96
2734,87,95,53
2735,83,96,96
2736,66,63,92
2737,60,61,68
2738,85,85,91
2739,69,84,71
2740,66,58,75
2741,91,63,86
2742,69,90,79
2743,99,92,93
2744,63,50,60
2745,79,98,71
2746,58,60,64
2747,58,76,61
2748,87,53,59
2749,50,55,81
2750,53,75,55
2751,65,73,76
2752,95,58,50
2753,91,99,60
2754,81,85,58
2755,71,83,50
2756,56,84,97
2757,89,64,83
2758,64,93,61
2759,52,79,51
2760,74,74,86
2761,69,62,58
2762,64,93,73
2763,74,99,92
2764,89,93,91
2765,93,92,79
2766,52,100,83
2767,86,81,63
2768,57,90,52
2769,87,80,73
2770,52,69,94
2771,52,63,84
2772,50,80,91
2773,85,63,63
2774,71,74,74
2775,59,91,69
2776,57,99,98
2777,72,93,86
2778,72,91,90
2779,50,88,86
2780,80,50,61
2781,88,84,94
2782,98,91,52
2783,66,90,50
2784,67,58,53
2785,75,80,68
2786,74,57,86
2787,76,67,63
2788,64,55,58
2789,65,74,97
2790,100,50,66
2791,98,54,94
2792,52,57,76
2793,91,86,98
2794,77,71,58
2795,56,90,97
2796,98,72,90
2797,62,98,50
2798,61,88,82
2799,57,95,90
2800,84,92,85
2801,76,99,53
2802,83,65,74
2803,59,75,57
2804,69,55,91
2805,54,96,80
2806,72,91,82
2807,88,76,90
2808,59,86,83
2809,59,70,78
2810,55,99,97
2811,92,50,83
2812,89,63,52
2813,91,80,61
2814,93,70,98
2815,94,82,80
2816,83,55,53
2817,94,95,68
2818,79,95,89
2819,97,66,91
2820,72,54,97
2821,94,78,93
2822,87,98,52
2823,86,70,75
2824,70,94,92
2825,82,66,68
2826,70,53,86
2827,96,88,59
2828,85,95,77
2829,83,51,83
2830,79,82,92
2831,83,70,84
2832,50,72,53
2833,52,97,63
2834,60,76,92
2835,94,83,83
2836,61,79,70
2837,60,87,68
2838,89,90,91
2839,58,89,80
2840,58,96,80
2841,61,76,50
2842,58,57,99
2843,60,83,80
2844,68,97,70
2845,61,56,97
2846,55,100,89
2847,59,92,85
2848,83,67,63
2849,79,85,68
2850,76,55,85
2851,89,85,63
2852,55,70,69
2853,65,51,76
2854,66,63,77
2855,100,63,65
2856,91,97,96
2857,96,84,67
2858,74,81,69
2859,66,62,58
2860,79,85,89
2861,89,72,54
2862,61,83,70
2863,80,68,80
2864,63,78,95
2865,53,64,58
2866,91,70,92
2867,75,81,81
2868,51,51,70
2869,92,92,99
2870,77,62,57
2871,98,72,83
2872,89,56,58
2873,82,94,73
2874,92,85,74
2875,87,90,68
2876,84,87,75
2877,52,90,100
2878,89,60,94
2879,90,65,83
2880,68,79,88
2881,85,69,89
2882,92,59,75
2883,57,62,61
2884,88,82,82
2885,60,68,82
2886,71,51,92
2887,74,80,81
2888,65,62,68
2889,92,66,79
2890,62,67,60
2891,80,61,65
2892,61,52,70
2893,54,93,79
2894,67,95,77
2895,85,66,90
2896,96,100,77
2897,97,98,85
2898,79,81,90
2899,65,95,79
2900,97,68,88
2901,66,52,86
2902,59,86,100
2903,63,80,65
2904,71,50,64
2905,81,58,87
2906,90,99,94
2907,52,95,99
2908,58,50,54
2909,94,92,51
2910,61,81,99
2911,100,79,81
2912,100,93,93
2913,98,91,67
2914,79,59,54
2915,92,83,99
2916,80,63,65
2917,77,56,75
2918,80,68,65
2919,89,73,91
2920,75,55,74
2921,66,97,62
2922,68,95,53
2923,83,91,91
2924,54,92,65
2925,90,61,75
2926,75,77,82
2927,55,58,94
2928,69,66,96
2929,63,58,64
2930,59,70,77
2931,69,64,68
2932,51,68,64
2933,57,94,80
2934,87,79,80
2935,51,54,67
2936,91,91,79
2937,80,100,93
2938,91,51,93
2939,84,72,85
2940,51,90,70
2941,97,63,65
2942,93,79,79
2943,94,70,59
2944,84,57,91
2945,95,65,71
2946,67,56,90
2947,50,74,95
2948,94,93,80
2949,80,65,75
2950,72,86,74
2951,67,63,70
2952,72,61,60
2953,57,62,70
2954,71,53,86
2955,69,72,76
2956,70,59,61
2957,79,59,83
2958,63,75,98
2959,85,69,64
2960,86,52,51
2961,54,66,59
2962,57,100,72
2963,54,68,68
2964,78,73,55
2965,59,66,62
2966,85,100,73
2967,76,64,79
2968,68,84,76
2969,51,89,75
2970,55,69,80
2971,98,82,61
2972,56,99,72
2973,54,65,74
2974,98,55,81
2975,85,100,84
2976,64,64,95
2977,66,96,53
2978,100,74,86
2979,50,96,51
2980,90,99,73
2981,90,88,87
2982,78,92,50
2983,56,90,90
2984,93,67,75
2985,68,56,98
2986,78,93,64
2987,66,75,86
2988,90,57,63
2989,90,84,66
2990,75,88,88
2991,80,98,58
2992,59,94,62
2993,73,100,75
2994,81,75,67
2995,63,85,97
2996,100,66,73
2997,97,72,98
2998,90,92,99
2999,66,51,54
3000,50,54,64
3001,87,77,74
3002,64,63,67
3003,63,84,90
3004,58,66,94
3005,58,54,98
3006,87,60,56
3007,52,93,88
3008,68,56,86
3009,75,96,65
3010,82,52,75
3011,50,53,71
3012,53,81,77
3013,73,80,91
3014,65,81,71
3015,51,57,52
3016,64,98,80
3017,95,72,79
3018,62,72,93
3019,66,95,50
3020,69,72,79
3021,89,67,84
3022,52,62,76
3023,83,92,63
3024,76,51,79
3025,58,77,98
3026,62,75,59
3027,82,62,98
3028,52,52,82
3029,80,57,72
3030,54,95,51
3031,70,72,70
3032,62,80,81
3033,97,81,99
3034,64,98,72
3035,70,90,90
3036,60,75,91
3037,64,94,59
3038,71,75,52
3039,82,60,98
3040,63,67,70
3041,73,62,56
3042,51,84,75
3043,53,72,98
3044,59,52,59
3045,91,84,53
3046,80,80,63
3047,84,69,61
3048,64,61,53
3049,56,75,63
3050,95,60,87
3051,53,73,78
3052,84,95,82
3053,90,54,82
3054,78,70,76
3055,93,78,66
3056,80,83,83
3057,75,51,61
3058,94,71,73
3059,92,98,58
3060,71,65,76
3061,84,56,98
3062,81,68,91
3063,72,58,97
3064,53,63,53
3065,64,93,60
3066,77,86,70
3067,86,91,76
3068,68,99,65
3069,95,62,56
3070,80,70,95
3071,52,58,81
3072,95,67,61
3073,51,55,52
3074,79,79,68
3075,96,78,78
3076,56,71,80
3077,59,71,64
3078,64,81,59
3079,81,53,94
3080,55,50,68
3081,70,51,64
3082,94,93,81
3083,81,59,85
3084,66,94,90
3085,72,77,59
3086,55,61,95
3087,75,79,50
3088,86,80,79
3089,99,71,57
3090,92,54,75
3091,58,59,72
3092,76,69,87
3093,73,84,74
3094,55,82,91
3095,84,54,97
3096,95,92,90
3097,61,59,61
3098,79,58,72
3099,95,97,79
3100,99,54,94
3101,94,79,89
3102,93,57,60
3103,50,54,61
3104,60,81,83
3105,92,89,53
3106,88,69,53
3107,99,70,55
3108,92,82,99
3109,72,57,74
3110,57,89,81
3111,83,92,87
3112,59,67,64
3113,83,72,89
3114,96,77,87
3115,73,79,95
3116,60,95,52
3117,91,91,100
3118,98,56,69
3119,94,57,99
3120,56,88,91
3121,54,70,65
3122,73,76,62
3123,83,95,79
3124,58,100,62
3125,71,80,50
3126,89,89,90
3127,100,83,95
3128,96,51,87
3129,89,96,76
3130,60,78,76
3131,60,99,95
3132,54,96,97
3133,96,77,63
3134,50,54,93
3135,88,96,99
3136,76,66,54
3137,91,78,69
3138,76,67,74
3139,53,62,87
3140,69,57,58
3141,85,72,91
3142,86,52,83
3143,80,82,97
3144,92,61,81
3145,77,68,94
3146,83,74,50
3147,92,79,73
3148,84,54,81
3149,92,84,73
3150,99,75,82
3151,83,56,90
3152,71,81,77
3153,63,67,87
3154,79,72,92
3155,91,71,57
3156,63,86,64
3157,91,75,61
3158,72,73,50
3159,74,75,60
3160,83,83,66
3161,77,80,67
3162,69,52,77
3163,55,82,57
3164,95,93,51
3165,75,82,87
3166,92,61,75
3167,87,74,87
3168,73,84,76
3169,73,51,85
3170,68,80,60
3171,80,98,86
3172,56,91,93
3173,100,70,80
3174,91,100,70
3175,64,74,88
3176,51,53,62
3177,88,86,52
3178,78,54,56
3179,52,69,77
3180,56,92,85
3181,97,63,51
3182,53,83,78
3183,60,92,72
3184,79,72,86
3185,74,64,59
3186,82,83,69
3187,81,65,79
3188,93,96,81
3189,51,57,96
3190,76,72,63
3191,98,77,87
3192,97,77,85
3193,59,67,59
3194,58,88,98
3195,86,99,54
3196,62,99,72
3197,75,81,88
3198,85,83,63
3199,98,85,72
3200,54,55,67
3201,94,71,51
3202,94,88,52
3203,79,56,80
3204,77,58,64
3205,76,57,78
3206,75,57,93
3207,84,85,65
3208,76,56,69
3209,71,99,76
3210,66,87,98
3211,61,57,56
3212,76,77,76
3213,66,73,96
3214,61,52,84
3215,92,84,86
3216,88,76,93
3217,99,56,56
